Label,Timestamp,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Ch_11,Ch_12,Ch_13,Ch_14,Ch_15,Ch_16,Ch_17,Ch_18
Infested,2026-02-08 18:16:02,10.592577934265137,44.118350982666016,172.5612030029297,51.939453125,56.75774383544922,72.07818603515625,11.85738754272461,12.951720237731934,8.481062889099121,9.31589698791504,0.6739402413368225,0.95663321018219,71.55043029785156,63.78611755371094,178.93606567382812,106.82955932617188,34.953704833984375,17.165014266967773
Infested,2026-02-08 18:16:06,10.592577934265137,44.118350982666016,171.64817810058594,51.939453125,57.49485397338867,72.07818603515625,11.85738754272461,12.951720237731934,8.979948997497559,9.31589698791504,0.6739402413368225,0.95663321018219,72.7044677734375,64.83179473876953,178.93606567382812,106.82955932617188,35.827545166015625,18.3093490600586
Infested,2026-02-08 18:17:23,7.333323001861572,28.1606502532959,130.5621795654297,47.75078582763672,51.59794616699219,61.19845962524414,9.361095428466797,9.867977142333984,6.485518932342529,7.354655742645264,0.6739402413368225,0.95663321018219,118.86603546142578,66.92314147949219,199.8925323486328,107.6513214111328,34.953704833984375,16.020681381225586
Infested,2026-02-08 18:17:33,9.777764320373535,40.36359786987305,183.51747131347656,66.18091583251953,72.9742431640625,88.39777374267578,13.729606628417969,14.185216903686523,9.478835105895996,10.296517372131348,1.347880482673645,0.95663321018219,169.6437530517578,90.97364807128906,260.3439025878906,138.87843322753906,46.31365585327149,21.742351531982425
Infested,2026-02-08 18:17:41,17.111087799072266,77.9111328125,314.07965087890625,111.4185028076172,126.04641723632812,156.3960723876953,23.71477508544922,24.66994285583496,15.964354515075684,18.14148330688477,2.0218207836151123,1.91326642036438,297.7420959472656,166.26217651367188,463.4605102539063,247.3515167236328,81.26736450195312,36.61869812011719
Infested,2026-02-08 18:20:47,28.518478393554688,87.29801177978516,346.0354309082031,139.06369018554688,162.90208435058594,252.95364379882807,46.18140411376953,51.19013214111328,41.40754318237305,33.831417083740234,2.69576096534729,2.86989974975586,1366.38232421875,949.4720458984376,1513.702392578125,806.1522827148438,283.99884033203125,146.47479248046875
Infested,2026-02-08 18:20:55,28.518478393554688,89.1753921508789,353.339599609375,142.4146270751953,166.58766174316406,259.073486328125,46.805477142333984,52.42362976074219,42.40531539916992,34.32172775268555,2.69576096534729,2.86989974975586,1403.3116455078125,924.3759155273438,1497.58203125,792.1822509765625,283.99884033203125,146.47479248046875
Infested,2026-02-08 18:21:12,28.518478393554688,89.1753921508789,352.42657470703125,142.4146270751953,166.58766174316406,258.3934936523437,46.805477142333984,52.42362976074219,41.90642929077149,33.831417083740234,2.69576096534729,2.86989974975586,1406.773681640625,887.7772827148438,1452.4449462890625,765.0640258789062,278.7557983398437,144.18612670898438
Infested,2026-02-08 18:23:14,12.22220516204834,49.75048065185547,198.1258239746093,72.0450439453125,75.18557739257812,93.15765380859376,18.09811782836914,19.73595428466797,12.47215175628662,10.78682804107666,1.347880482673645,0.95663321018219,396.9894714355469,349.2551574707031,693.9817504882812,381.2993469238281,124.95948791503906,61.79405212402344
Infested,2026-02-08 18:23:21,13.03701877593994,51.62785720825195,207.25604248046875,75.39598083496094,79.60826110839844,96.5575714111328,19.346263885498047,20.969451904296875,13.469923973083496,11.277138710021973,1.347880482673645,0.95663321018219,391.2192687988281,349.2551574707031,696.3997802734375,382.94287109375,126.7071762084961,61.79405212402344
Infested,2026-02-08 18:23:26,12.22220516204834,50.68917083740234,203.6039581298828,74.55824279785156,78.134033203125,94.5176239013672,19.346263885498047,20.969451904296875,13.469923973083496,11.277138710021973,1.347880482673645,0.95663321018219,387.7571411132813,340.8897399902344,681.08544921875,374.7252197265625,124.0856475830078,60.64971923828125
